pathway	pval	padj	ES	NES	nMoreExtreme	size
MIR_144_5P	0.0967741935483871	0.16229446466675	-0.244094173982442	-1.43750390924476	50	24
MIR_129B_5P	0.00216450216450216	0.00680433203877364	-0.151329018260384	-2.09425862082004	0	142
MIR_6903_5P	0.122105263157895	0.196554130424099	-0.0971529839582039	-1.34334321625704	57	140
MIR_7651_3P	0.00207900207900208	0.00680433203877364	-0.192676250181889	-2.38268901463986	0	106
MIR_7059_3P	0.010351966873706	0.0258274831986529	-0.185079987981756	-2.00634719012661	4	83
MIR_3078_5P	0.0493827160493827	0.0920387053720387	-0.149445910507148	-1.57475168489726	23	78
MIR_5135	0.0211538461538462	0.0454162276080084	-0.34719163874262	-1.86350286332588	10	20
MIR_6975_5P	0.166030534351145	0.25086471623258	0.115883968050207	1.29550639564568	86	90
MIR_668_5P	0.00992063492063492	0.0251147938372608	-0.208770254757384	-1.88989079699387	4	58
MIR_467E_5P	0.00399201596806387	0.0120621860263353	-0.223240488767942	-2.0633325087401	1	60
MIR_467H	0.00399201596806387	0.0120621860263353	-0.223240488767942	-2.0633325087401	1	60
MIR_466F_3P	0.00200400801603206	0.00680433203877364	-0.221452908734157	-4.79844339122665	0	346
MIR_7005_5P	0.394230769230769	0.492502787068004	0.0913263276883465	1.0297955861291	204	92
MIR_8108	0.803468208092486	0.85431914943117	0.0600932176149148	0.734993873332433	416	110
MIR_504_5P	0.740286298568507	0.804192551185952	-0.103211684238636	-0.785204082779919	361	41
MIR_100_3P	0.00596421471172962	0.0167191970130437	-0.230928106666165	-1.95122910757851	2	51
MIR_6916_3P	0.0691823899371069	0.123454865974301	-0.129359431326513	-1.54579748021401	32	99
MIR_7024_3P	0.0170575692963753	0.0385921909015104	-0.134938259283287	-1.73272550173301	7	116
MIR_6344	0.00202020202020202	0.00680433203877364	-0.188892024094437	-4.23850281515883	0	382
MIR_677_5P	0.00214132762312634	0.00680433203877364	-0.203387024291019	-2.62516609008658	0	119
MIR_299B_5P	0.0144329896907217	0.0338998286468721	-0.227647395916627	-1.86130376884224	6	48
MIR_383_5P	0.00813008130081301	0.0213024916748528	-0.248658250024332	-1.9976314739546	3	46
MIR_5627_5P	0.5850622406639	0.669752525169033	-0.122390922167173	-0.910136819569818	281	40
MIR_200C_3P	0.002	0.00680433203877364	-0.176900817248068	-3.54048099663808	0	295
MIR_30B_3P	0.0610236220472441	0.110561698363556	-0.234087987779904	-1.53299692053962	30	31
MIR_6939_5P	0.142250530785563	0.223214060932145	-0.120587999358254	-1.33145964287296	66	88
MIR_466Q	0.00214132762312634	0.00680433203877364	-0.201897399273608	-2.85600082127285	0	145
MIR_667_5P	0.958904109589041	0.971298874812871	0.0746319982601357	0.587482740103391	489	43
MIR_7044_5P	0.432637571157495	0.531759429459846	-0.173031391327481	-1.01900548217593	227	24
MIR_12201_3P	0.258403361344538	0.357534024845893	-0.0887938315669019	-1.18375364024063	122	127
MIR_6917_3P	0.00205761316872428	0.00680433203877364	-0.312946929613596	-3.34287838856303	0	80
MIR_147_5P	0.00210526315789474	0.00680433203877364	-0.161977454949591	-2.74924974823895	0	204
MIR_703	0.00207900207900208	0.00680433203877364	-0.242730513653781	-3.00167419624776	0	106
MIR_374B_3P	0.0442307692307692	0.0839800067773636	-0.26900790166813	-1.60442354976051	22	25
